aobtDateKey;adep;ades;aobtDate;aobtTime;aibtDate;aibtTime;aircraftRegistration;aircraftType;airline
20170616;LEMH;EGKK;16/06/2017;17:40:00;17/06/2017;0:00:00;EIFHN;B738;IBK
20170616;LEMH;LEPA;16/06/2017;5:04:00;16/06/2017;5:35:00;ECLKF;CRJX;ANE
20170616;LEMH;EGCC;16/06/2017;10:45:00;17/06/2017;0:00:00;GOBYF;B763;TOM
20170616;LEMH;EGKK;16/06/2017;8:27:00;17/06/2017;0:00:00;GTCDG;A321;TCX
20170616;LEMH;EGLF;16/06/2017;10:15:00;17/06/2017;0:00:00;GYEDC;C25B;EDC
20170616;LEMH;LIMC;16/06/2017;13:28:00;17/06/2017;0:00:00;GEZFU;A319;EZY
20170520;LEMH;EGGW;20/05/2017;13:10:00;21/05/2017;0:00:00;GEZTM;A320;EZY
20170520;LEMH;LEPA;20/05/2017;18:07:00;20/05/2017;18:39:00;ECJYV;CRJ9;ANE
20170520;LEMH;LEPA;20/05/2017;5:08:00;20/05/2017;5:40:00;ECLOX;CRJX;ANE
20170616;LEMH;LEBL;16/06/2017;20:50:00;16/06/2017;21:48:00;ECMGY;A321;VLG
